BioLoad(ADC),ServoAngle(deg)
0.0,0.0
4.099099099099099,0.0
8.198198198198199,0.0
12.297297297297298,0.0
16.396396396396398,0.0
20.495495495495497,0.4185772431656922
24.594594594594597,0.0
28.693693693693696,0.0
32.792792792792795,0.5700339232475802
36.891891891891895,0.0
40.990990990990994,0.0
45.090090090090094,0.22326825347035575
49.18918918918919,0.0998052092013914
53.28828828828829,0.5470897737607378
57.38738738738739,0.23950157169637945
61.48648648648649,0.0
65.58558558558559,1.089281086995831
69.6846846846847,0.09716673166911662
73.78378378378379,0.0
77.88288288288288,0.48196271152778547
81.98198198198199,0.12472547296503611
86.0810810810811,0.19961409646966355
90.18018018018019,1.2460919993003434
94.27927927927928,0.0
98.37837837837839,0.0
102.47747747747749,0.0582892560062319
106.57657657657658,0.5357579677905193
110.67567567567568,0.0
114.77477477477478,0.0
118.87387387387389,0.0
122.97297297297298,0.0
127.07207207207207,0.0
131.17117117117118,0.25124984806464506
135.2702702702703,0.0
139.3693693693694,0.0
143.46846846846847,0.034668580857673985
147.56756756756758,0.43127174230758514
151.66666666666669,0.0
155.76576576576576,0.4101161991529921
159.86486486486487,0.4086531018691631
163.96396396396398,0.477042551078314
168.06306306306308,0.6092401074358432
172.1621621621622,1.101006962329808
176.26126126126127,0.0
180.36036036036037,0.054785790038929055
184.45945945945948,0.0
188.55855855855856,0.0009884223779053878
192.65765765765767,0.7664366778181559
196.75675675675677,0.0
200.85585585585588,0.0
204.95495495495499,0.6885904682522807
209.05405405405406,0.5100182534510449
213.15315315315317,0.0
217.25225225225228,0.4272010005603599
221.35135135135135,0.17060792124601662
225.45045045045046,0.750137304500494
229.54954954954957,0.03725479691338631
233.64864864864867,0.5128160569362912
237.74774774774778,1.32100595524631
241.84684684684686,0.2990495775237331
245.94594594594597,0.02466408289742182
250.04504504504507,0.3612234926104898
254.14414414414415,0.0
258.2432432432433,1.193983852762366
262.34234234234236,0.09003551884799074
266.44144144144144,0.0
270.5405405405406,0.0
274.63963963963965,0.5486100958032193
278.7387387387388,0.4335937064138694
282.83783783783787,0.0
286.93693693693695,0.28822567256121134
